Name,Channel_ID
Red Ice TV,UCFUC7NaTxZanB_FVOJN92eg
Wife With a Purpose,UCZeP6H2mELnRI9imY5Iga0g 
Tree of Logic,UCl3RCEtooHD5bhPCHJw3btA 
Mark Collett,UCdf14z6V0MWNeVcbAz0r8wQ 
Bre Faucheux,UCOtFVJUoek4TKZAaeQVhiLA
Styxhexenhammer666,UC0rZoXAD5lxgBHMsjrGwWWQ 
Millennial Woes,UCLfhh63n0fWn0gXXKQ5NWvw 
Tara McCarthy,UC9vwJXx7DR-3zSub4mwQNFg
Tommy Robinson,UC6wdP5hTf_phre6Q3kFiV2g
Mouthy Buddha,UCKEt1xKVBLuL175dkk8rqLg
That Guy T,UCLJkNhB1Eg_mXx0quUju0Og 
Chris Ray Gun,UCctjGdm2NlMNzIlxz02IsXA 
Baked Alaska,UCAgBUlIpzlJaE0693J3s97w 
Andy Warski,UC2h3yPmh9TfQv2z3aTDTHHA 
Faith Goldy,UClMWnUHbxJKJLUgloN1mPUA
Jeff Holiday,UCAldq8BAAGdsX9UyK_09-ZA 
Blonde in the Belly of the Beast,UCpbyOgUSjTSPpvVUAT2OyHw
Brittany Pettibone,UCesrUK_dMDBZAf7cnjQPdgQ
James Allsup,UCIZBXVGIJoJMXf8giib0IiQ
Tim Pool,UCG749Dj4V2fKa143f8sE60Q 
Sargon of Akkad,UC-yewGHQbNFpDrGM0diZOLA 
Kraut and Tea,UCr_Q-bPpcw5fJ-Oow1BW1NQ
Vee,UC8RJExf7iNpV6tp6hvNtwww 
Caolan Robertson,UCFpvg5yg5fMda91yiI1owSQ
Nicholas Fuentes,UCsJ86N5n7fcEC_Ds8dYJKzA
Black Pigeon Speaks,UCmrLCXSDScliR7q8AxxjvXg 
Coach Red Pill,UC5tEELgWBfKbA9fVPRzBzPQ
Some Black Guy,UC7e57qWIEAZTQAaFwHpKdlw
Blaire White,UCDmCBKaKOtOrEqgsL4-3C8Q
Jordan Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q 
Joe Rogan,UCzQUP1qoWDoEbmsQxvdjxgQ 
Dave Rubin,UCJdKr0Bgd_5saZYqLCa9mng 
Destiny,UC554eY5jNUfDq3yDOJYirOQ 
Lauren Southern,UCla6APLHX6W3FeNLc8PYuvg
Stefan Molyneaux,UCC3L8QaxqEGUiBC252GHy3w 
Roaming Millenial,UCLUrVTVTA3PnUFpYvpfMcpg
JF Gariepy,UCowcNKm1w2GGw5U_XQeduhg 
Bunty King,UCka_dz0F1gYuvN8LTefNcJQ
Mundane Matt,UCxXUQuvoiIAlpM2osoAitjQ 
Milo Yiannopoulos,UC0aVoboXBUx2-tVIWHc3W2Q 
Computing Forever,UCT9D87j5W7PtE7NHOR5DUOQ 
Paul Joseph Watson,UCittVh8imKanO_5KohzDbpg 
Mike Cernovich,UC87YBeLMwXhgaw5tcCxsXgQ 
Mister Metokur,UCfYbb7nga6-icsFWWgS-kWw
No Bullshit,UCZNk7Jjb2t8EuBdgn4Zj1cw
Gavin McInness,UCHnP4h7CkxDtQXV-kEGS9FA
Steven Crowder,UCIveFvW-ARp_B_RckhweNJw 
Ben Shapiro,UCnQC_G5Xsjhp9fEJKuIcrSw
Dennis Prager,UCZWlSUNDvCCS1hBiXV0zKcA 
Owen Benjamin,UCyQsQSKayfcZoHaCjqxxSlg 
Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w
Michael Knowles,UCr4kgAUTFkGIwlWSodg43QA
Andrew Klavan,UCyhEZKz-LOwgktptEOh6_Iw
